date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:20	13921/13921	---M-Z	200	added ('OK')	text/html	etag:%223661-5602108c0bc0e-gzip%22	http://qbgrow.com/magen/iot-admin/app/blank.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/blank.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:20	30321/30321	---M-Z	200	added ('OK')	text/html	etag:%227671-560210994b6e5-gzip%22	http://qbgrow.com/magen/iot-admin/app/mailbox.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/mailbox.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:20	25349/25349	---M-Z	200	added ('OK')	text/html	etag:%226305-5602109c5ba0d-gzip%22	http://qbgrow.com/magen/iot-admin/app/chat.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/chat.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:21	14614/14614	---M-Z	200	added ('OK')	text/html	etag:%223916-560210831e8bd-gzip%22	http://qbgrow.com/magen/iot-admin/app/calendar.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/calendar.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:21	19491/19491	---M-Z	200	added ('OK')	text/html	etag:%224c23-56021089da37b-gzip%22	http://qbgrow.com/magen/iot-admin/app/edit-profile.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/edit-profile.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:21	31472/31472	---M-Z	200	added ('OK')	text/html	etag:%227af0-560210993bce3-gzip%22	http://qbgrow.com/magen/iot-admin/app/file-manager.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/file-manager.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:22	3288/3288	---M-Z	200	added ('OK')	text/html	etag:%22cd8-5602108f21cf7-gzip%22	http://qbgrow.com/magen/iot-admin/app/page-signin.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/page-signin.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:22	4789/4789	---M-Z	200	added ('OK')	text/html	etag:%2212b5-5602108f902a1-gzip%22	http://qbgrow.com/magen/iot-admin/app/page-signup.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/page-signup.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:22	2530/2530	---M-Z	200	added ('OK')	text/html	etag:%229e2-56021093dfb46-gzip%22	http://qbgrow.com/magen/iot-admin/app/page-notfound.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/page-notfound.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:22	32370/32370	---M-Z	200	added ('OK')	text/html	etag:%227e72-56021085a6059-gzip%22	http://qbgrow.com/magen/iot-admin/app/widgets.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/widgets.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
