date,reading
Mon Feb 25 14:58:06 2019	,26.88
Mon Feb 25 14:59:07 2019	,26.88
Mon Feb 25 15:00:07 2019	,26.88
Mon Feb 25 15:01:08 2019	,26.88
Mon Feb 25 15:02:08 2019	,26.88
Mon Feb 25 15:03:08 2019	,26.88
Mon Feb 25 15:04:09 2019	,26.88
Mon Feb 25 15:05:09 2019	,26.88
Mon Feb 25 15:06:09 2019	,26.88
Mon Feb 25 15:07:10 2019	,26.88
Mon Feb 25 15:08:10 2019	,26.88
Mon Feb 25 15:09:10 2019	,26.88
Mon Feb 25 15:10:10 2019	,26.88
Mon Feb 25 15:11:11 2019	,26.88
Mon Feb 25 15:12:11 2019	,26.88
Mon Feb 25 15:13:12 2019	,26.88
Mon Feb 25 15:14:12 2019	,26.88
Mon Feb 25 15:15:12 2019	,26.88
Mon Feb 25 15:16:13 2019	,26.88
Mon Feb 25 15:17:13 2019	,26.88
Mon Feb 25 15:18:13 2019	,26.88
Mon Feb 25 15:19:14 2019	,26.88
Mon Feb 25 15:20:14 2019	,26.88
Mon Feb 25 15:21:14 2019	,26.88
Mon Feb 25 15:22:15 2019	,26.88
Mon Feb 25 15:23:15 2019	,26.88
Mon Feb 25 15:24:15 2019	,26.88
Mon Feb 25 15:25:16 2019	,26.88
Mon Feb 25 15:26:16 2019	,26.88
Mon Feb 25 15:27:16 2019	,26.88
Mon Feb 25 15:28:17 2019	,26.88
Mon Feb 25 15:29:17 2019	,26.88
Mon Feb 25 15:30:17 2019	,26.88
Mon Feb 25 15:31:18 2019	,26.88
Mon Feb 25 15:32:18 2019	,26.88
Mon Feb 25 15:33:19 2019	,26.88
Mon Feb 25 15:34:19 2019	,26.88
Mon Feb 25 15:35:19 2019	,26.88
Mon Feb 25 15:36:19 2019	,26.88
Mon Feb 25 15:37:20 2019	,26.88
Mon Feb 25 15:38:20 2019	,26.88
Mon Feb 25 15:39:20 2019	,26.88
Mon Feb 25 15:40:21 2019	,26.88
Mon Feb 25 15:41:21 2019	,26.88
Mon Feb 25 15:42:22 2019	,26.88
Mon Feb 25 15:43:22 2019	,26.88
Mon Feb 25 15:44:22 2019	,26.88
Mon Feb 25 15:45:23 2019	,26.88
Mon Feb 25 15:46:23 2019	,26.88
Mon Feb 25 15:47:23 2019	,26.88
Mon Feb 25 15:48:24 2019	,26.88
Mon Feb 25 15:49:24 2019	,26.88
Mon Feb 25 15:50:24 2019	,26.88
Mon Feb 25 15:51:25 2019	,26.88
Mon Feb 25 15:52:25 2019	,26.88
Mon Feb 25 15:53:25 2019	,26.88
Mon Feb 25 15:54:26 2019	,26.88
Mon Feb 25 15:55:26 2019	,26.88
Mon Feb 25 15:56:26 2019	,26.88
Mon Feb 25 15:57:27 2019	,26.88
Mon Feb 25 15:58:27 2019	,26.88
Mon Feb 25 15:59:27 2019	,26.88
Mon Feb 25 16:00:28 2019	,26.88
Mon Feb 25 16:01:28 2019	,26.88
Mon Feb 25 16:02:28 2019	,26.88
Mon Feb 25 16:03:29 2019	,26.88
Mon Feb 25 16:04:29 2019	,26.88
Mon Feb 25 16:05:29 2019	,26.88
Mon Feb 25 16:06:30 2019	,26.88
Mon Feb 25 16:07:30 2019	,26.88
Mon Feb 25 16:08:30 2019	,26.88
Mon Feb 25 16:09:31 2019	,26.88
Mon Feb 25 16:10:26 2019	,26.88
Mon Feb 25 16:12:27 2019	,26.88
Mon Feb 25 16:14:27 2019	,26.88
Mon Feb 25 16:16:27 2019	,26.88
