date,reading
Sat Mar  2 10:36:02 2019	,58.21470642089844
Sat Mar  2 10:36:03 2019	,58.21470642089844
Sat Mar  2 10:36:05 2019	,58.21470642089844
Sat Mar  2 10:36:06 2019	,58.21470642089844
Sat Mar  2 10:36:07 2019	,58.21470642089844
Sat Mar  2 10:36:09 2019	,58.21470642089844
Sat Mar  2 10:36:10 2019	,58.21470642089844
Sat Mar  2 10:36:11 2019	,58.21470642089844
Sat Mar  2 10:36:13 2019	,58.21470642089844
Sat Mar  2 10:36:14 2019	,58.21470642089844
Sat Mar  2 10:36:15 2019	,58.21470642089844
Sat Mar  2 10:36:16 2019	,58.21470642089844
Sat Mar  2 10:36:18 2019	,58.21470642089844
Sat Mar  2 10:36:19 2019	,58.21470642089844
Sat Mar  2 10:36:20 2019	,58.21470642089844
Sat Mar  2 10:36:22 2019	,58.21470642089844
Sat Mar  2 10:36:23 2019	,58.21470642089844
Sat Mar  2 10:36:24 2019	,58.21470642089844
Sat Mar  2 10:36:26 2019	,58.21470642089844
Sat Mar  2 10:36:27 2019	,58.21470642089844
Sat Mar  2 10:36:28 2019	,58.21470642089844
Sat Mar  2 10:36:29 2019	,58.21470642089844
Sat Mar  2 10:36:31 2019	,58.21470642089844
Sat Mar  2 10:36:32 2019	,58.21470642089844
Sat Mar  2 10:36:33 2019	,58.21470642089844
Sat Mar  2 10:36:35 2019	,58.21470642089844
Sat Mar  2 10:36:36 2019	,58.21470642089844
Sat Mar  2 10:36:37 2019	,58.21470642089844
Sat Mar  2 10:36:39 2019	,58.21470642089844
Sat Mar  2 10:36:40 2019	,58.21470642089844
Sat Mar  2 10:36:41 2019	,57.724517822265625
Sat Mar  2 10:36:43 2019	,58.21470642089844
Sat Mar  2 10:36:44 2019	,57.724517822265625
Sat Mar  2 10:36:45 2019	,58.21470642089844
Sat Mar  2 10:36:46 2019	,57.724517822265625
Sat Mar  2 10:36:48 2019	,57.724517822265625
Sat Mar  2 10:36:49 2019	,57.724517822265625
Sat Mar  2 10:36:50 2019	,57.724517822265625
Sat Mar  2 10:36:52 2019	,57.724517822265625
Sat Mar  2 10:36:53 2019	,57.724517822265625
Sat Mar  2 10:36:54 2019	,57.724517822265625
Sat Mar  2 10:36:56 2019	,57.724517822265625
Sat Mar  2 10:36:57 2019	,57.724517822265625
Sat Mar  2 10:36:58 2019	,57.724517822265625
Sat Mar  2 10:36:59 2019	,58.21470642089844
Sat Mar  2 10:37:01 2019	,58.21470642089844
Sat Mar  2 10:37:02 2019	,58.21470642089844
Sat Mar  2 10:37:03 2019	,58.21470642089844
Sat Mar  2 10:37:05 2019	,58.21470642089844
Sat Mar  2 10:37:06 2019	,58.21470642089844
Sat Mar  2 10:37:07 2019	,58.21470642089844
Sat Mar  2 10:37:09 2019	,58.21470642089844
Sat Mar  2 10:37:10 2019	,58.21470642089844
Sat Mar  2 10:37:11 2019	,58.21470642089844
Sat Mar  2 10:37:13 2019	,58.21470642089844
Sat Mar  2 10:37:14 2019	,58.21470642089844
Sat Mar  2 10:37:15 2019	,58.21470642089844
Sat Mar  2 10:37:17 2019	,58.21470642089844
Sat Mar  2 10:37:18 2019	,58.21470642089844
Sat Mar  2 10:37:19 2019	,58.21470642089844
Sat Mar  2 10:37:21 2019	,58.21470642089844
Sat Mar  2 10:37:22 2019	,58.21470642089844
Sat Mar  2 10:37:23 2019	,58.21470642089844
Sat Mar  2 10:37:24 2019	,58.21470642089844
Sat Mar  2 10:37:26 2019	,58.21470642089844
Sat Mar  2 10:37:27 2019	,58.21470642089844
Sat Mar  2 10:37:28 2019	,58.21470642089844
Sat Mar  2 10:37:30 2019	,58.21470642089844
Sat Mar  2 10:37:31 2019	,58.21470642089844
Sat Mar  2 10:37:32 2019	,58.21470642089844
Sat Mar  2 10:37:34 2019	,58.21470642089844
Sat Mar  2 10:37:35 2019	,58.21470642089844
Sat Mar  2 10:37:36 2019	,58.21470642089844
Sat Mar  2 10:37:37 2019	,58.21470642089844
