date,reading
Sat Apr 13 14:19:02 2019,27.5
Sat Apr 13 16:33:54 2019,24.937
Sat Apr 13 16:34:57 2019,24.937
Sat Apr 13 16:35:59 2019,24.875
Sat Apr 13 16:37:02 2019,24.937
Sat Apr 13 16:38:04 2019,24.937
Sat Apr 13 16:39:07 2019,24.937
Sat Apr 13 16:40:09 2019,24.937
Mon Apr 15 09:23:08 2019,26.812
Mon Apr 15 11:55:53 2019,26.125
Mon Apr 15 13:03:12 2019,25.562
Mon Apr 15 13:04:15 2019,25.562
Mon Apr 15 13:05:18 2019,25.562
Mon Apr 15 13:06:22 2019,25.562
Mon Apr 15 13:07:25 2019,25.562
Mon Apr 15 13:08:29 2019,25.562
Mon Apr 15 13:09:32 2019,25.562
Mon Apr 15 13:10:36 2019,25.562
Mon Apr 15 13:11:39 2019,25.562
Mon Apr 15 13:12:43 2019,25.5
Mon Apr 15 13:13:46 2019,25.5
Mon Apr 15 13:14:49 2019,25.5
Mon Apr 15 13:15:53 2019,25.5
Mon Apr 15 13:16:56 2019,25.5
Mon Apr 15 13:18:00 2019,25.5
Mon Apr 15 13:19:03 2019,25.5
Mon Apr 15 13:20:07 2019,25.5
Mon Apr 15 13:21:10 2019,25.437
Mon Apr 15 13:22:14 2019,25.5
Mon Apr 15 13:23:17 2019,25.437
Mon Apr 15 13:24:20 2019,25.437
Mon Apr 15 13:25:24 2019,25.437
Mon Apr 15 13:26:27 2019,25.437
Mon Apr 15 13:27:31 2019,25.437
Mon Apr 15 13:28:34 2019,25.437
Mon Apr 15 13:29:38 2019,25.437
Mon Apr 15 13:30:41 2019,25.437
Mon Apr 15 13:31:45 2019,25.437
Mon Apr 15 13:32:48 2019,25.437
Mon Apr 15 13:33:51 2019,25.437
Mon Apr 15 13:34:55 2019,25.375
Mon Apr 15 13:35:58 2019,25.375
Mon Apr 15 13:37:02 2019,25.375
Mon Apr 15 13:38:05 2019,25.375
Mon Apr 15 13:39:09 2019,25.375
Mon Apr 15 13:40:12 2019,25.375
Mon Apr 15 13:41:16 2019,25.375
Mon Apr 15 13:42:19 2019,25.375
Mon Apr 15 13:43:22 2019,25.375
Mon Apr 15 13:44:26 2019,25.375
Mon Apr 15 13:45:29 2019,25.375
Mon Apr 15 13:46:33 2019,25.375
Mon Apr 15 13:47:37 2019,25.375
Mon Apr 15 13:48:40 2019,25.312
Mon Apr 15 13:49:44 2019,25.312
Mon Apr 15 13:50:47 2019,25.312
Mon Apr 15 13:51:50 2019,25.312
Mon Apr 15 13:52:54 2019,25.312
Mon Apr 15 13:53:57 2019,25.312
Mon Apr 15 13:55:01 2019,25.312
Mon Apr 15 13:56:04 2019,25.312
Mon Apr 15 13:57:08 2019,25.25
Mon Apr 15 13:58:11 2019,25.25
Mon Apr 15 13:59:14 2019,25.25
Mon Apr 15 14:00:18 2019,25.25
Mon Apr 15 14:01:21 2019,25.25
Mon Apr 15 14:02:25 2019,25.25
Mon Apr 15 14:03:28 2019,25.25
Mon Apr 15 14:04:32 2019,25.25
Mon Apr 15 14:05:35 2019,25.187
Mon Apr 15 14:06:39 2019,25.187
Mon Apr 15 14:07:42 2019,25.187
Mon Apr 15 14:08:45 2019,25.187
Mon Apr 15 14:09:49 2019,25.187
Mon Apr 15 14:10:52 2019,25.187
Mon Apr 15 14:11:56 2019,25.187
Mon Apr 15 14:12:59 2019,25.187
Mon Apr 15 14:14:03 2019,25.187
Mon Apr 15 14:15:06 2019,25.125
Mon Apr 15 14:16:10 2019,25.125
Mon Apr 15 14:17:13 2019,25.125
Mon Apr 15 14:18:17 2019,25.125
Mon Apr 15 14:19:20 2019,25.125
Mon Apr 15 14:20:23 2019,25.125
Mon Apr 15 14:21:27 2019,25.125
Mon Apr 15 14:22:30 2019,25.125
Mon Apr 15 14:23:34 2019,25.125
Mon Apr 15 14:24:37 2019,25.125
Mon Apr 15 14:25:41 2019,25.125
Mon Apr 15 14:26:44 2019,25.125
Mon Apr 15 14:27:47 2019,25.062
Mon Apr 15 14:28:51 2019,25.062
Mon Apr 15 14:29:54 2019,25.062
Mon Apr 15 14:30:58 2019,25.062
Mon Apr 15 14:32:01 2019,25.062
Mon Apr 15 14:33:05 2019,25.062
Mon Apr 15 14:34:08 2019,25.062
Mon Apr 15 14:35:13 2019,25.062
Mon Apr 15 14:36:16 2019,25.062
Mon Apr 15 14:37:20 2019,25.062
Mon Apr 15 14:38:23 2019,25.0
Mon Apr 15 14:39:27 2019,25.0
Mon Apr 15 14:40:30 2019,25.0
Mon Apr 15 14:41:34 2019,25.0
Mon Apr 15 14:42:37 2019,25.0
Mon Apr 15 14:43:41 2019,25.0
Mon Apr 15 14:44:44 2019,25.0
Mon Apr 15 14:45:47 2019,25.0
Mon Apr 15 14:46:51 2019,25.0
Mon Apr 15 14:47:54 2019,25.0
Mon Apr 15 18:16:02 2019,24.375
Mon Apr 15 18:17:06 2019,24.375
Mon Apr 15 18:18:09 2019,24.312
Mon Apr 15 18:19:12 2019,24.375
Mon Apr 15 18:20:16 2019,24.375
Mon Apr 15 18:21:19 2019,24.375
Mon Apr 15 18:22:23 2019,24.375
Mon Apr 15 18:23:27 2019,24.375
Mon Apr 15 18:24:31 2019,24.375
Mon Apr 15 18:25:34 2019,24.375
Mon Apr 15 18:26:38 2019,24.375
Mon Apr 15 18:27:41 2019,24.375
Mon Apr 15 18:28:44 2019,24.375
Mon Apr 15 18:29:48 2019,24.375
Mon Apr 15 18:30:51 2019,24.375
Mon Apr 15 18:31:55 2019,24.375
Mon Apr 15 18:32:58 2019,24.375
Mon Apr 15 18:34:02 2019,24.437
Mon Apr 15 18:35:05 2019,24.437
Mon Apr 15 18:36:09 2019,24.437
Mon Apr 15 18:37:12 2019,24.437
Mon Apr 15 18:38:16 2019,24.5
Mon Apr 15 18:39:19 2019,24.5
Mon Apr 15 18:40:22 2019,24.562
Mon Apr 15 18:41:26 2019,24.562
Mon Apr 15 18:42:29 2019,24.562
Mon Apr 15 18:43:33 2019,24.562
Mon Apr 15 18:44:36 2019,24.625
Mon Apr 15 18:45:40 2019,24.625
Mon Apr 15 18:46:43 2019,24.687
Mon Apr 15 18:47:47 2019,24.687
Mon Apr 15 18:48:50 2019,24.687
Mon Apr 15 18:49:54 2019,24.75
Mon Apr 15 18:50:57 2019,24.75
Mon Apr 15 18:52:00 2019,24.75
Mon Apr 15 18:53:04 2019,24.812
Mon Apr 15 18:54:07 2019,24.812
Mon Apr 15 18:55:11 2019,24.875
Mon Apr 15 18:56:14 2019,24.875
Mon Apr 15 18:57:18 2019,24.875
Mon Apr 15 18:58:21 2019,24.937
Mon Apr 15 18:59:24 2019,24.937
Mon Apr 15 19:00:28 2019,24.937
Mon Apr 15 19:01:31 2019,25.0
Mon Apr 15 19:02:35 2019,25.0
Mon Apr 15 19:03:38 2019,25.062
Mon Apr 15 19:04:42 2019,25.062
Mon Apr 15 19:05:45 2019,25.062
Mon Apr 15 19:06:49 2019,25.062
Mon Apr 15 19:07:52 2019,25.125
Mon Apr 15 19:08:55 2019,25.125
Mon Apr 15 19:09:59 2019,25.187
Mon Apr 15 19:11:02 2019,25.187
Mon Apr 15 19:12:06 2019,25.187
Mon Apr 15 19:13:09 2019,25.25
Mon Apr 15 19:14:13 2019,25.25
Mon Apr 15 19:15:16 2019,25.25
Mon Apr 15 19:16:20 2019,25.25
Mon Apr 15 19:17:23 2019,25.312
Mon Apr 15 19:18:26 2019,25.312
Mon Apr 15 19:19:30 2019,25.312
Mon Apr 15 19:20:33 2019,25.375
Mon Apr 15 19:21:37 2019,25.375
Mon Apr 15 19:22:40 2019,25.375
Mon Apr 15 19:23:44 2019,25.437
Mon Apr 15 19:24:47 2019,25.437
Mon Apr 15 19:25:51 2019,25.437
Mon Apr 15 19:26:54 2019,25.5
Mon Apr 15 19:27:58 2019,25.5
Mon Apr 15 19:29:01 2019,25.5
Mon Apr 15 19:30:04 2019,25.5
Mon Apr 15 19:31:08 2019,25.562
Mon Apr 15 19:32:11 2019,25.562
Mon Apr 15 19:33:15 2019,25.562
Mon Apr 15 19:34:18 2019,25.562
Mon Apr 15 19:35:22 2019,25.625
Mon Apr 15 19:36:25 2019,25.625
Mon Apr 15 19:37:29 2019,25.625
Mon Apr 15 19:38:32 2019,25.625
Tue Apr 16 11:28:38 2019,25.687
Tue Apr 16 11:29:41 2019,25.687
Tue Apr 16 11:30:45 2019,25.625
Tue Apr 16 11:31:48 2019,25.625
Tue Apr 16 11:32:52 2019,25.625
Tue Apr 16 11:33:55 2019,25.625
Tue Apr 16 11:34:59 2019,25.625
Tue Apr 16 11:36:02 2019,25.625
Tue Apr 16 11:37:06 2019,25.625
Tue Apr 16 11:38:09 2019,25.625
Tue Apr 16 11:39:13 2019,25.562
Tue Apr 16 11:40:16 2019,25.562
Tue Apr 16 11:41:20 2019,25.562
Tue Apr 16 11:42:24 2019,25.562
Tue Apr 16 11:43:27 2019,25.625
Tue Apr 16 11:44:31 2019,25.625
Tue Apr 16 11:45:35 2019,25.625
Tue Apr 16 11:46:38 2019,25.625
Tue Apr 16 11:47:42 2019,25.625
Tue Apr 16 11:48:45 2019,25.625
Tue Apr 16 11:49:50 2019,25.625
Tue Apr 16 11:51:04 2019,25.625
Tue Apr 16 11:55:04 2019,25.625
Tue Apr 16 11:56:14 2019,25.625
Tue Apr 16 11:57:17 2019,25.625
Tue Apr 16 11:58:21 2019,25.625
Tue Apr 16 11:59:24 2019,25.625
Tue Apr 16 12:00:28 2019,25.625
Tue Apr 16 12:01:31 2019,25.625
Tue Apr 16 12:02:35 2019,25.562
Tue Apr 16 12:03:38 2019,25.562
Tue Apr 16 12:04:42 2019,25.562
Tue Apr 16 12:05:45 2019,25.562
Tue Apr 16 12:06:49 2019,25.562
Tue Apr 16 12:07:52 2019,25.562
Tue Apr 16 12:08:56 2019,25.562
Tue Apr 16 12:09:59 2019,25.562
Tue Apr 16 12:11:03 2019,25.562
Tue Apr 16 12:12:06 2019,25.562
Tue Apr 16 12:13:10 2019,25.562
